,detected_regime
2018-07-10,Calm Bull
2018-07-11,Choppy/Neutral
2018-07-12,Choppy/Neutral
2018-07-13,Choppy/Neutral
2018-07-16,Choppy/Neutral
2018-07-17,Choppy/Neutral
2018-07-18,Choppy/Neutral
2018-07-19,Choppy/Neutral
2018-07-20,Choppy/Neutral
2018-07-23,Choppy/Neutral
2018-07-24,Choppy/Neutral
2018-07-25,Choppy/Neutral
2018-07-26,Choppy/Neutral
2018-07-27,Choppy/Neutral
2018-07-30,Choppy/Neutral
2018-07-31,Choppy/Neutral
2018-08-01,Choppy/Neutral
2018-08-02,Choppy/Neutral
2018-08-03,Calm Bull
2018-08-06,Calm Bull
2018-08-07,Calm Bull
2018-08-08,Choppy/Neutral
2018-08-09,Choppy/Neutral
2018-08-10,Choppy/Neutral
2018-08-13,Choppy/Neutral
2018-08-14,Choppy/Neutral
2018-08-15,Choppy/Neutral
2018-08-16,Choppy/Neutral
2018-08-17,Choppy/Neutral
2018-08-20,Choppy/Neutral
2018-08-21,Choppy/Neutral
2018-08-22,Choppy/Neutral
2018-08-23,Choppy/Neutral
2018-08-24,Choppy/Neutral
2018-08-27,Choppy/Neutral
2018-08-28,Choppy/Neutral
2018-08-29,Choppy/Neutral
2018-08-30,Choppy/Neutral
2018-08-31,Choppy/Neutral
2018-09-03,Choppy/Neutral
2018-09-04,Choppy/Neutral
2018-09-05,Choppy/Neutral
2018-09-06,Choppy/Neutral
2018-09-07,Choppy/Neutral
2018-09-10,Choppy/Neutral
2018-09-11,Choppy/Neutral
2018-09-12,Choppy/Neutral
2018-09-13,Choppy/Neutral
2018-09-14,Choppy/Neutral
2018-09-17,Choppy/Neutral
2018-09-18,Choppy/Neutral
2018-09-19,Choppy/Neutral
2018-09-20,Choppy/Neutral
2018-09-21,Choppy/Neutral
2018-09-24,Choppy/Neutral
2018-09-25,Choppy/Neutral
2018-09-26,Choppy/Neutral
2018-09-27,Choppy/Neutral
2018-09-28,Choppy/Neutral
2018-10-01,Choppy/Neutral
2018-10-02,Choppy/Neutral
2018-10-03,Choppy/Neutral
2018-10-04,Choppy/Neutral
2018-10-05,Choppy/Neutral
2018-10-08,Choppy/Neutral
2018-10-09,Choppy/Neutral
2018-10-10,Choppy/Neutral
2018-10-11,Choppy/Neutral
2018-10-12,Choppy/Neutral
2018-10-15,Choppy/Neutral
2018-10-16,Choppy/Neutral
2018-10-17,Choppy/Neutral
2018-10-18,Choppy/Neutral
2018-10-19,Choppy/Neutral
2018-10-22,Choppy/Neutral
2018-10-23,Choppy/Neutral
2018-10-24,Choppy/Neutral
2018-10-25,Choppy/Neutral
2018-10-26,Choppy/Neutral
2018-10-29,Choppy/Neutral
2018-10-30,Choppy/Neutral
2018-10-31,Choppy/Neutral
2018-11-01,Choppy/Neutral
2018-11-02,Choppy/Neutral
2018-11-05,Choppy/Neutral
2018-11-06,Choppy/Neutral
2018-11-07,Choppy/Neutral
2018-11-08,Choppy/Neutral
2018-11-09,Choppy/Neutral
2018-11-12,Choppy/Neutral
2018-11-13,Choppy/Neutral
2018-11-14,Choppy/Neutral
2018-11-15,Choppy/Neutral
2018-11-16,Choppy/Neutral
2018-11-19,Choppy/Neutral
2018-11-20,Choppy/Neutral
2018-11-21,Choppy/Neutral
2018-11-22,Choppy/Neutral
2018-11-23,Choppy/Neutral
2018-11-26,Choppy/Neutral
2018-11-27,Choppy/Neutral
2018-11-28,Choppy/Neutral
2018-11-29,Choppy/Neutral
2018-11-30,Choppy/Neutral
2018-12-03,Choppy/Neutral
2018-12-04,Choppy/Neutral
2018-12-05,Choppy/Neutral
2018-12-06,Choppy/Neutral
2018-12-07,Choppy/Neutral
2018-12-10,Choppy/Neutral
2018-12-11,Calm Bull
2018-12-12,Calm Bull
2018-12-13,Calm Bull
2018-12-14,Calm Bull
2018-12-17,Calm Bull
2018-12-18,Calm Bull
2018-12-19,Calm Bull
2018-12-20,Calm Bull
2018-12-21,Calm Bull
2018-12-24,Calm Bull
2018-12-25,Calm Bull
2018-12-26,Calm Bull
2018-12-27,Calm Bull
2018-12-28,Calm Bull
2018-12-31,Calm Bull
2019-01-01,Calm Bull
2019-01-02,Calm Bull
2019-01-03,Calm Bull
2019-01-04,Calm Bull
2019-01-07,Calm Bull
2019-01-08,Calm Bull
2019-01-09,Calm Bull
2019-01-10,Calm Bull
2019-01-11,Calm Bull
2019-01-14,Calm Bull
2019-01-15,Calm Bull
2019-01-16,Calm Bull
2019-01-17,Calm Bull
2019-01-18,Calm Bull
2019-01-21,Calm Bull
2019-01-22,Calm Bull
2019-01-23,Calm Bull
2019-01-24,Calm Bull
2019-01-25,Calm Bull
2019-01-28,Calm Bull
2019-01-29,Calm Bull
2019-01-30,Calm Bull
2019-01-31,Calm Bull
2019-02-01,Calm Bull
2019-02-04,Calm Bull
2019-02-05,Calm Bull
2019-02-06,Calm Bull
2019-02-07,Calm Bull
2019-02-08,Calm Bull
2019-02-11,Calm Bull
2019-02-12,Calm Bull
2019-02-13,Calm Bull
2019-02-14,Calm Bull
2019-02-15,Calm Bull
2019-02-18,Calm Bull
2019-02-19,Calm Bull
2019-02-20,Calm Bull
2019-02-21,Calm Bull
2019-02-22,Calm Bull
2019-02-25,Calm Bull
2019-02-26,Calm Bull
2019-02-27,Calm Bull
2019-02-28,Calm Bull
2019-03-01,Calm Bull
2019-03-04,Calm Bull
2019-03-05,Calm Bull
2019-03-06,Calm Bull
2019-03-07,Calm Bull
2019-03-08,Calm Bull
2019-03-11,Calm Bull
2019-03-12,Calm Bull
2019-03-13,Calm Bull
2019-03-14,Calm Bull
2019-03-15,Calm Bull
2019-03-18,Calm Bull
2019-03-19,Calm Bull
2019-03-20,Calm Bull
2019-03-21,Calm Bull
2019-03-22,Calm Bull
2019-03-25,Calm Bull
2019-03-26,Calm Bull
2019-03-27,Calm Bull
2019-03-28,Calm Bull
2019-03-29,Calm Bull
2019-04-01,Calm Bull
2019-04-02,Calm Bull
2019-04-03,Calm Bull
2019-04-04,Calm Bull
2019-04-05,Calm Bull
2019-04-08,Calm Bull
2019-04-09,Calm Bull
2019-04-10,Calm Bull
2019-04-11,Calm Bull
2019-04-12,Calm Bull
2019-04-15,Calm Bull
2019-04-16,Calm Bull
2019-04-17,Calm Bull
2019-04-18,Calm Bull
2019-04-19,Calm Bull
2019-04-22,Calm Bull
2019-04-23,Calm Bull
2019-04-24,Calm Bull
2019-04-25,Calm Bull
2019-04-26,Calm Bull
2019-04-29,Calm Bull
2019-04-30,Calm Bull
2019-05-01,Calm Bull
2019-05-02,Calm Bull
2019-05-03,Calm Bull
2019-05-06,Calm Bull
2019-05-07,Calm Bull
2019-05-08,Calm Bull
2019-05-09,Calm Bull
2019-05-10,Calm Bull
2019-05-13,Calm Bull
2019-05-14,Calm Bull
2019-05-15,Calm Bull
2019-05-16,Calm Bull
2019-05-17,Calm Bull
2019-05-20,Calm Bull
2019-05-21,Calm Bull
2019-05-22,Calm Bull
2019-05-23,Calm Bull
2019-05-24,Calm Bull
2019-05-27,Calm Bull
2019-05-28,Calm Bull
2019-05-29,Calm Bull
2019-05-30,Calm Bull
2019-05-31,Calm Bull
2019-06-03,Calm Bull
2019-06-04,Calm Bull
2019-06-05,Calm Bull
2019-06-06,Calm Bull
2019-06-07,Calm Bull
2019-06-10,Calm Bull
2019-06-11,Calm Bull
2019-06-12,Calm Bull
2019-06-13,Calm Bull
2019-06-14,Calm Bull
2019-06-17,Calm Bull
2019-06-18,Calm Bull
2019-06-19,Calm Bull
2019-06-20,Calm Bull
2019-06-21,Calm Bull
2019-06-24,Calm Bull
2019-06-25,Calm Bull
2019-06-26,Calm Bull
2019-06-27,Calm Bull
2019-06-28,Calm Bull
2019-07-01,Calm Bull
2019-07-02,Calm Bull
2019-07-03,Calm Bull
2019-07-04,Calm Bull
2019-07-05,Calm Bull
2019-07-08,Calm Bull
2019-07-09,Calm Bull
2019-07-10,Calm Bull
2019-07-11,Calm Bull
2019-07-12,Calm Bull
2019-07-15,Calm Bull
2019-07-16,Calm Bull
2019-07-17,Calm Bull
2019-07-18,Calm Bull
2019-07-19,Calm Bull
2019-07-22,Calm Bull
2019-07-23,Calm Bull
2019-07-24,Calm Bull
2019-07-25,Calm Bull
2019-07-26,Calm Bull
2019-07-29,Calm Bull
2019-07-30,Calm Bull
2019-07-31,Calm Bull
2019-08-01,Calm Bull
2019-08-02,Calm Bull
2019-08-05,Calm Bull
2019-08-06,Calm Bull
2019-08-07,Calm Bull
2019-08-08,Calm Bull
2019-08-09,Calm Bull
2019-08-12,Calm Bull
2019-08-13,Calm Bull
2019-08-14,Calm Bull
2019-08-15,Calm Bull
2019-08-16,Calm Bull
2019-08-19,Calm Bull
2019-08-20,Calm Bull
2019-08-21,Calm Bull
2019-08-22,Calm Bull
2019-08-23,Calm Bull
2019-08-26,Calm Bull
2019-08-27,Calm Bull
2019-08-28,Calm Bull
2019-08-29,Calm Bull
2019-08-30,Calm Bull
2019-09-02,Calm Bull
2019-09-03,Calm Bull
2019-09-04,Calm Bull
2019-09-05,Calm Bull
2019-09-06,Calm Bull
2019-09-09,Calm Bull
2019-09-10,Calm Bull
2019-09-11,Calm Bull
2019-09-12,Calm Bull
2019-09-13,Calm Bull
2019-09-16,Calm Bull
2019-09-17,Calm Bull
2019-09-18,Calm Bull
2019-09-19,Calm Bull
2019-09-20,Calm Bull
2019-09-23,Calm Bull
2019-09-24,Calm Bull
2019-09-25,Crisis/Bear
2019-09-26,Crisis/Bear
2019-09-27,Crisis/Bear
2019-09-30,Crisis/Bear
2019-10-01,Crisis/Bear
2019-10-02,Crisis/Bear
2019-10-03,Crisis/Bear
2019-10-04,Crisis/Bear
2019-10-07,Crisis/Bear
2019-10-08,Crisis/Bear
2019-10-09,Crisis/Bear
2019-10-10,Crisis/Bear
2019-10-11,Crisis/Bear
2019-10-14,Crisis/Bear
2019-10-15,Crisis/Bear
2019-10-16,Crisis/Bear
2019-10-17,Crisis/Bear
2019-10-18,Crisis/Bear
2019-10-21,Crisis/Bear
2019-10-22,Crisis/Bear
2019-10-23,Crisis/Bear
2019-10-24,Crisis/Bear
2019-10-25,Crisis/Bear
2019-10-28,Crisis/Bear
2019-10-29,Crisis/Bear
2019-10-30,Crisis/Bear
2019-10-31,Crisis/Bear
2019-11-01,Crisis/Bear
2019-11-04,Crisis/Bear
2019-11-05,Crisis/Bear
2019-11-06,Crisis/Bear
2019-11-07,Crisis/Bear
2019-11-08,Crisis/Bear
2019-11-11,Crisis/Bear
2019-11-12,Crisis/Bear
2019-11-13,Crisis/Bear
2019-11-14,Crisis/Bear
2019-11-15,Crisis/Bear
2019-11-18,Crisis/Bear
2019-11-19,Crisis/Bear
2019-11-20,Crisis/Bear
2019-11-21,Crisis/Bear
2019-11-22,Crisis/Bear
2019-11-25,Crisis/Bear
2019-11-26,Crisis/Bear
2019-11-27,Crisis/Bear
2019-11-28,Crisis/Bear
2019-11-29,Crisis/Bear
2019-12-02,Crisis/Bear
2019-12-03,Crisis/Bear
2019-12-04,Crisis/Bear
2019-12-05,Crisis/Bear
2019-12-06,Crisis/Bear
2019-12-09,Crisis/Bear
2019-12-10,Calm Bull
2019-12-11,Calm Bull
2019-12-12,Calm Bull
2019-12-13,Calm Bull
2019-12-16,Calm Bull
2019-12-17,Calm Bull
2019-12-18,Calm Bull
2019-12-19,Calm Bull
2019-12-20,Calm Bull
2019-12-23,Calm Bull
2019-12-24,Calm Bull
2019-12-25,Calm Bull
2019-12-26,Calm Bull
2019-12-27,Crisis/Bear
2019-12-30,Crisis/Bear
2019-12-31,Crisis/Bear
2020-01-01,Crisis/Bear
2020-01-02,Crisis/Bear
2020-01-03,Crisis/Bear
2020-01-06,Crisis/Bear
2020-01-07,Crisis/Bear
2020-01-08,Calm Bull
2020-01-09,Calm Bull
2020-01-10,Calm Bull
2020-01-13,Calm Bull
2020-01-14,Calm Bull
2020-01-15,Calm Bull
2020-01-16,Calm Bull
2020-01-17,Calm Bull
2020-01-20,Calm Bull
2020-01-21,Calm Bull
2020-01-22,Calm Bull
2020-01-23,Calm Bull
2020-01-24,Calm Bull
2020-01-27,Calm Bull
2020-01-28,Calm Bull
2020-01-29,Calm Bull
2020-01-30,Calm Bull
2020-01-31,Calm Bull
2020-02-03,Calm Bull
2020-02-04,Calm Bull
2020-02-05,Calm Bull
2020-02-06,Calm Bull
2020-02-07,Calm Bull
2020-02-10,Calm Bull
2020-02-11,Calm Bull
2020-02-12,Calm Bull
2020-02-13,Calm Bull
2020-02-14,Calm Bull
2020-02-17,Calm Bull
2020-02-18,Calm Bull
2020-02-19,Calm Bull
2020-02-20,Calm Bull
2020-02-21,Calm Bull
2020-02-24,Calm Bull
2020-02-25,Calm Bull
2020-02-26,Choppy/Neutral
2020-02-27,Choppy/Neutral
2020-02-28,Choppy/Neutral
2020-03-02,Calm Bull
2020-03-03,Calm Bull
2020-03-04,Calm Bull
2020-03-05,Calm Bull
2020-03-06,Calm Bull
2020-03-09,Calm Bull
2020-03-10,Choppy/Neutral
2020-03-11,Choppy/Neutral
2020-03-12,Calm Bull
2020-03-13,Choppy/Neutral
2020-03-16,Choppy/Neutral
2020-03-17,Choppy/Neutral
2020-03-18,Choppy/Neutral
2020-03-19,Choppy/Neutral
2020-03-20,Choppy/Neutral
2020-03-23,Choppy/Neutral
2020-03-24,Choppy/Neutral
2020-03-25,Choppy/Neutral
2020-03-26,Choppy/Neutral
2020-03-27,Choppy/Neutral
2020-03-30,Choppy/Neutral
2020-03-31,Choppy/Neutral
2020-04-01,Choppy/Neutral
2020-04-02,Choppy/Neutral
2020-04-03,Choppy/Neutral
2020-04-06,Choppy/Neutral
2020-04-07,Choppy/Neutral
2020-04-08,Choppy/Neutral
2020-04-09,Choppy/Neutral
2020-04-10,Choppy/Neutral
2020-04-13,Crisis/Bear
2020-04-14,Crisis/Bear
2020-04-15,Crisis/Bear
2020-04-16,Crisis/Bear
2020-04-17,Crisis/Bear
2020-04-20,Crisis/Bear
2020-04-21,Crisis/Bear
2020-04-22,Crisis/Bear
2020-04-23,Crisis/Bear
2020-04-24,Crisis/Bear
2020-04-27,Crisis/Bear
2020-04-28,Crisis/Bear
2020-04-29,Crisis/Bear
2020-04-30,Crisis/Bear
2020-05-01,Crisis/Bear
2020-05-04,Crisis/Bear
2020-05-05,Crisis/Bear
2020-05-06,Crisis/Bear
2020-05-07,Crisis/Bear
2020-05-08,Crisis/Bear
2020-05-11,Crisis/Bear
2020-05-12,Crisis/Bear
2020-05-13,Crisis/Bear
2020-05-14,Crisis/Bear
2020-05-15,Crisis/Bear
2020-05-18,Crisis/Bear
2020-05-19,Crisis/Bear
2020-05-20,Crisis/Bear
2020-05-21,Crisis/Bear
2020-05-22,Crisis/Bear
2020-05-25,Crisis/Bear
2020-05-26,Crisis/Bear
2020-05-27,Crisis/Bear
2020-05-28,Crisis/Bear
2020-05-29,Crisis/Bear
2020-06-01,Crisis/Bear
2020-06-02,Crisis/Bear
2020-06-03,Crisis/Bear
2020-06-04,Crisis/Bear
2020-06-05,Crisis/Bear
2020-06-08,Crisis/Bear
2020-06-09,Crisis/Bear
2020-06-10,Crisis/Bear
2020-06-11,Crisis/Bear
2020-06-12,Crisis/Bear
2020-06-15,Crisis/Bear
2020-06-16,Crisis/Bear
2020-06-17,Crisis/Bear
2020-06-18,Crisis/Bear
2020-06-19,Crisis/Bear
2020-06-22,Crisis/Bear
2020-06-23,Crisis/Bear
2020-06-24,Crisis/Bear
2020-06-25,Crisis/Bear
2020-06-26,Crisis/Bear
2020-06-29,Crisis/Bear
2020-06-30,Crisis/Bear
2020-07-01,Crisis/Bear
2020-07-02,Crisis/Bear
2020-07-03,Crisis/Bear
2020-07-06,Crisis/Bear
2020-07-07,Crisis/Bear
2020-07-08,Crisis/Bear
2020-07-09,Crisis/Bear
2020-07-10,Crisis/Bear
2020-07-13,Crisis/Bear
2020-07-14,Crisis/Bear
2020-07-15,Crisis/Bear
2020-07-16,Crisis/Bear
2020-07-17,Crisis/Bear
2020-07-20,Crisis/Bear
2020-07-21,Crisis/Bear
2020-07-22,Crisis/Bear
2020-07-23,Crisis/Bear
2020-07-24,Crisis/Bear
2020-07-27,Crisis/Bear
2020-07-28,Crisis/Bear
2020-07-29,Crisis/Bear
2020-07-30,Crisis/Bear
2020-07-31,Crisis/Bear
2020-08-03,Crisis/Bear
2020-08-04,Crisis/Bear
2020-08-05,Crisis/Bear
2020-08-06,Crisis/Bear
2020-08-07,Crisis/Bear
2020-08-10,Crisis/Bear
2020-08-11,Crisis/Bear
2020-08-12,Crisis/Bear
2020-08-13,Crisis/Bear
2020-08-14,Crisis/Bear
2020-08-17,Crisis/Bear
2020-08-18,Crisis/Bear
2020-08-19,Crisis/Bear
2020-08-20,Crisis/Bear
2020-08-21,Crisis/Bear
2020-08-24,Crisis/Bear
2020-08-25,Crisis/Bear
2020-08-26,Crisis/Bear
2020-08-27,Crisis/Bear
2020-08-28,Crisis/Bear
2020-08-31,Crisis/Bear
2020-09-01,Crisis/Bear
2020-09-02,Crisis/Bear
2020-09-03,Crisis/Bear
2020-09-04,Crisis/Bear
2020-09-07,Crisis/Bear
2020-09-08,Crisis/Bear
2020-09-09,Crisis/Bear
2020-09-10,Crisis/Bear
2020-09-11,Crisis/Bear
2020-09-14,Crisis/Bear
2020-09-15,Crisis/Bear
2020-09-16,Crisis/Bear
2020-09-17,Crisis/Bear
2020-09-18,Crisis/Bear
2020-09-21,Crisis/Bear
2020-09-22,Crisis/Bear
2020-09-23,Crisis/Bear
2020-09-24,Crisis/Bear
2020-09-25,Crisis/Bear
2020-09-28,Crisis/Bear
2020-09-29,Crisis/Bear
2020-09-30,Crisis/Bear
2020-10-01,Crisis/Bear
2020-10-02,Crisis/Bear
2020-10-05,Crisis/Bear
2020-10-06,Crisis/Bear
2020-10-07,Crisis/Bear
2020-10-08,Crisis/Bear
2020-10-09,Crisis/Bear
2020-10-12,Crisis/Bear
2020-10-13,Crisis/Bear
2020-10-14,Crisis/Bear
2020-10-15,Crisis/Bear
2020-10-16,Crisis/Bear
2020-10-19,Crisis/Bear
2020-10-20,Crisis/Bear
2020-10-21,Crisis/Bear
2020-10-22,Crisis/Bear
2020-10-23,Crisis/Bear
2020-10-26,Crisis/Bear
2020-10-27,Crisis/Bear
2020-10-28,Crisis/Bear
2020-10-29,Crisis/Bear
2020-10-30,Crisis/Bear
2020-11-02,Crisis/Bear
2020-11-03,Crisis/Bear
2020-11-04,Crisis/Bear
2020-11-05,Crisis/Bear
2020-11-06,Crisis/Bear
2020-11-09,Crisis/Bear
2020-11-10,Crisis/Bear
2020-11-11,Crisis/Bear
2020-11-12,Crisis/Bear
2020-11-13,Crisis/Bear
2020-11-16,Crisis/Bear
2020-11-17,Crisis/Bear
2020-11-18,Crisis/Bear
2020-11-19,Crisis/Bear
2020-11-20,Calm Bull
2020-11-23,Calm Bull
2020-11-24,Calm Bull
2020-11-25,Calm Bull
2020-11-26,Calm Bull
2020-11-27,Calm Bull
2020-11-30,Calm Bull
2020-12-01,Calm Bull
2020-12-02,Calm Bull
2020-12-03,Calm Bull
2020-12-04,Calm Bull
2020-12-07,Calm Bull
2020-12-08,Calm Bull
2020-12-09,Calm Bull
2020-12-10,Calm Bull
2020-12-11,Calm Bull
2020-12-14,Calm Bull
2020-12-15,Calm Bull
2020-12-16,Calm Bull
2020-12-17,Calm Bull
2020-12-18,Calm Bull
2020-12-21,Calm Bull
2020-12-22,Calm Bull
2020-12-23,Calm Bull
2020-12-24,Calm Bull
2020-12-25,Calm Bull
2020-12-28,Calm Bull
2020-12-29,Calm Bull
2020-12-30,Calm Bull
2020-12-31,Calm Bull
2021-01-01,Calm Bull
2021-01-04,Calm Bull
2021-01-05,Calm Bull
2021-01-06,Calm Bull
2021-01-07,Calm Bull
2021-01-08,Calm Bull
2021-01-11,Calm Bull
2021-01-12,Calm Bull
2021-01-13,Calm Bull
2021-01-14,Calm Bull
2021-01-15,Calm Bull
2021-01-18,Calm Bull
2021-01-19,Calm Bull
2021-01-20,Calm Bull
2021-01-21,Calm Bull
2021-01-22,Calm Bull
2021-01-25,Calm Bull
2021-01-26,Calm Bull
2021-01-27,Calm Bull
2021-01-28,Calm Bull
2021-01-29,Calm Bull
2021-02-01,Calm Bull
2021-02-02,Calm Bull
2021-02-03,Calm Bull
2021-02-04,Calm Bull
2021-02-05,Calm Bull
2021-02-08,Calm Bull
2021-02-09,Calm Bull
2021-02-10,Calm Bull
2021-02-11,Calm Bull
2021-02-12,Calm Bull
2021-02-15,Calm Bull
2021-02-16,Calm Bull
2021-02-17,Calm Bull
2021-02-18,Calm Bull
2021-02-19,Calm Bull
2021-02-22,Calm Bull
2021-02-23,Calm Bull
2021-02-24,Calm Bull
2021-02-25,Calm Bull
2021-02-26,Calm Bull
2021-03-01,Calm Bull
2021-03-02,Calm Bull
2021-03-03,Calm Bull
2021-03-04,Calm Bull
2021-03-05,Calm Bull
2021-03-08,Calm Bull
2021-03-09,Calm Bull
2021-03-10,Calm Bull
2021-03-11,Calm Bull
2021-03-12,Calm Bull
2021-03-15,Calm Bull
2021-03-16,Calm Bull
2021-03-17,Calm Bull
2021-03-18,Calm Bull
2021-03-19,Calm Bull
2021-03-22,Calm Bull
2021-03-23,Calm Bull
2021-03-24,Calm Bull
2021-03-25,Calm Bull
2021-03-26,Calm Bull
2021-03-29,Calm Bull
2021-03-30,Calm Bull
2021-03-31,Calm Bull
2021-04-01,Calm Bull
2021-04-02,Calm Bull
2021-04-05,Calm Bull
2021-04-06,Calm Bull
2021-04-07,Calm Bull
2021-04-08,Calm Bull
2021-04-09,Calm Bull
2021-04-12,Calm Bull
2021-04-13,Calm Bull
2021-04-14,Calm Bull
2021-04-15,Calm Bull
2021-04-16,Calm Bull
2021-04-19,Calm Bull
2021-04-20,Calm Bull
2021-04-21,Calm Bull
2021-04-22,Calm Bull
2021-04-23,Calm Bull
2021-04-26,Calm Bull
2021-04-27,Calm Bull
2021-04-28,Calm Bull
2021-04-29,Calm Bull
2021-04-30,Calm Bull
2021-05-03,Calm Bull
2021-05-04,Calm Bull
2021-05-05,Calm Bull
2021-05-06,Calm Bull
2021-05-07,Calm Bull
2021-05-10,Calm Bull
2021-05-11,Calm Bull
2021-05-12,Choppy/Neutral
2021-05-13,Choppy/Neutral
2021-05-14,Choppy/Neutral
2021-05-17,Choppy/Neutral
2021-05-18,Choppy/Neutral
2021-05-19,Choppy/Neutral
2021-05-20,Choppy/Neutral
2021-05-21,Choppy/Neutral
2021-05-24,Choppy/Neutral
2021-05-25,Choppy/Neutral
2021-05-26,Choppy/Neutral
2021-05-27,Choppy/Neutral
2021-05-28,Choppy/Neutral
2021-05-31,Choppy/Neutral
2021-06-01,Choppy/Neutral
2021-06-02,Choppy/Neutral
2021-06-03,Choppy/Neutral
2021-06-04,Choppy/Neutral
2021-06-07,Choppy/Neutral
2021-06-08,Choppy/Neutral
2021-06-09,Choppy/Neutral
2021-06-10,Choppy/Neutral
2021-06-11,Choppy/Neutral
2021-06-14,Choppy/Neutral
2021-06-15,Choppy/Neutral
2021-06-16,Choppy/Neutral
2021-06-17,Choppy/Neutral
2021-06-18,Choppy/Neutral
2021-06-21,Choppy/Neutral
2021-06-22,Choppy/Neutral
2021-06-23,Choppy/Neutral
2021-06-24,Choppy/Neutral
2021-06-25,Choppy/Neutral
2021-06-28,Choppy/Neutral
2021-06-29,Choppy/Neutral
2021-06-30,Choppy/Neutral
2021-07-01,Choppy/Neutral
2021-07-02,Choppy/Neutral
2021-07-05,Choppy/Neutral
2021-07-06,Choppy/Neutral
2021-07-07,Choppy/Neutral
2021-07-08,Choppy/Neutral
2021-07-09,Choppy/Neutral
2021-07-12,Choppy/Neutral
2021-07-13,Choppy/Neutral
2021-07-14,Choppy/Neutral
2021-07-15,Choppy/Neutral
2021-07-16,Choppy/Neutral
2021-07-19,Choppy/Neutral
2021-07-20,Choppy/Neutral
2021-07-21,Choppy/Neutral
2021-07-22,Choppy/Neutral
2021-07-23,Choppy/Neutral
2021-07-26,Choppy/Neutral
2021-07-27,Choppy/Neutral
2021-07-28,Choppy/Neutral
2021-07-29,Choppy/Neutral
2021-07-30,Choppy/Neutral
2021-08-02,Choppy/Neutral
2021-08-03,Choppy/Neutral
2021-08-04,Choppy/Neutral
2021-08-05,Choppy/Neutral
2021-08-06,Choppy/Neutral
2021-08-09,Choppy/Neutral
2021-08-10,Choppy/Neutral
2021-08-11,Choppy/Neutral
2021-08-12,Choppy/Neutral
2021-08-13,Choppy/Neutral
2021-08-16,Choppy/Neutral
2021-08-17,Choppy/Neutral
2021-08-18,Choppy/Neutral
2021-08-19,Choppy/Neutral
2021-08-20,Choppy/Neutral
2021-08-23,Choppy/Neutral
2021-08-24,Choppy/Neutral
2021-08-25,Choppy/Neutral
2021-08-26,Choppy/Neutral
2021-08-27,Choppy/Neutral
2021-08-30,Choppy/Neutral
2021-08-31,Choppy/Neutral
2021-09-01,Choppy/Neutral
2021-09-02,Choppy/Neutral
2021-09-03,Choppy/Neutral
2021-09-06,Choppy/Neutral
2021-09-07,Choppy/Neutral
2021-09-08,Choppy/Neutral
2021-09-09,Choppy/Neutral
2021-09-10,Choppy/Neutral
2021-09-13,Choppy/Neutral
2021-09-14,Choppy/Neutral
2021-09-15,Choppy/Neutral
2021-09-16,Choppy/Neutral
2021-09-17,Choppy/Neutral
2021-09-20,Choppy/Neutral
2021-09-21,Choppy/Neutral
2021-09-22,Choppy/Neutral
2021-09-23,Choppy/Neutral
2021-09-24,Choppy/Neutral
2021-09-27,Choppy/Neutral
2021-09-28,Choppy/Neutral
2021-09-29,Choppy/Neutral
2021-09-30,Choppy/Neutral
2021-10-01,Choppy/Neutral
2021-10-04,Choppy/Neutral
2021-10-05,Choppy/Neutral
2021-10-06,Choppy/Neutral
2021-10-07,Choppy/Neutral
2021-10-08,Choppy/Neutral
2021-10-11,Choppy/Neutral
2021-10-12,Choppy/Neutral
2021-10-13,Choppy/Neutral
2021-10-14,Calm Bull
2021-10-15,Calm Bull
2021-10-18,Calm Bull
2021-10-19,Calm Bull
2021-10-20,Calm Bull
2021-10-21,Calm Bull
2021-10-22,Calm Bull
2021-10-25,Calm Bull
2021-10-26,Choppy/Neutral
2021-10-27,Choppy/Neutral
2021-10-28,Choppy/Neutral
2021-10-29,Choppy/Neutral
2021-11-01,Choppy/Neutral
2021-11-02,Choppy/Neutral
2021-11-03,Choppy/Neutral
2021-11-04,Choppy/Neutral
2021-11-05,Choppy/Neutral
2021-11-08,Choppy/Neutral
2021-11-09,Choppy/Neutral
2021-11-10,Choppy/Neutral
2021-11-11,Choppy/Neutral
2021-11-12,Choppy/Neutral
2021-11-15,Choppy/Neutral
2021-11-16,Choppy/Neutral
2021-11-17,Choppy/Neutral
2021-11-18,Choppy/Neutral
2021-11-19,Choppy/Neutral
2021-11-22,Choppy/Neutral
2021-11-23,Choppy/Neutral
2021-11-24,Choppy/Neutral
2021-11-25,Choppy/Neutral
2021-11-26,Choppy/Neutral
2021-11-29,Choppy/Neutral
2021-11-30,Choppy/Neutral
2021-12-01,Choppy/Neutral
2021-12-02,Calm Bull
2021-12-03,Choppy/Neutral
2021-12-06,Choppy/Neutral
2021-12-07,Choppy/Neutral
2021-12-08,Choppy/Neutral
2021-12-09,Choppy/Neutral
2021-12-10,Choppy/Neutral
2021-12-13,Choppy/Neutral
2021-12-14,Choppy/Neutral
2021-12-15,Choppy/Neutral
2021-12-16,Choppy/Neutral
2021-12-17,Choppy/Neutral
2021-12-20,Choppy/Neutral
2021-12-21,Choppy/Neutral
2021-12-22,Choppy/Neutral
2021-12-23,Choppy/Neutral
2021-12-24,Choppy/Neutral
2021-12-27,Choppy/Neutral
2021-12-28,Choppy/Neutral
